be on display,/bi ɒn dɪˈspleɪ/,Được trưng bày,phrase,The artwork will be on display at the gallery.,Từ vựng: Mua sắm & Nhà hàng
browse in the store,/braʊz ɪn ðə stɔːr/,nhìn quanh trong cửa hàng,phrase,I like to browse in the store without buying anything.,Từ vựng: Mua sắm & Nhà hàng
compare prices,/kəmˈpeər ˈpraɪsɪz/,so sánh giá cả,phrase,It's wise to compare prices before you buy.,Từ vựng: Mua sắm & Nhà hàng
make a selection from,/meɪk ə sɪˈlɛkʃən frɒm/,chọn lựa từ,phrase,Please make a selection from the menu.,Từ vựng: Mua sắm & Nhà hàng
on both sides of the aisle,/ɒn bəʊθ saɪdz ɒv ði aɪl/,ở hai bên lối đi,phrase,There were shops on both sides of the aisle.,Từ vựng: Mua sắm & Nhà hàng
be hanging on the rack,/bi ˈhæŋɪŋ ɒn ðə ræk/,Được treo lên giá,phrase,The clothes were be hanging on the rack.,Từ vựng: Mua sắm & Nhà hàng
be laid out for sale,/bi leɪd aʊt fɔː seɪl/,Được trưng bày để bán,phrase,The vegetables were be laid out for sale at the market.,Từ vựng: Mua sắm & Nhà hàng
be marked down,/bi mɑːrkt daʊn/,treo bảng giảm giá,phrase,These items are be marked down this week.,Từ vựng: Mua sắm & Nhà hàng
be stocked with,/bi stɒkt wɪð/,Được dự trữ (mặt hàng),phrase,The shelves are be stocked with a wide variety of goods.,Từ vựng: Mua sắm & Nhà hàng
cash register,/ˈkæʃ ˌrɛdʒɪstər/,máy tính tiền,noun,The cashier scanned the items at the cash register.,Từ vựng: Mua sắm & Nhà hàng
reach for an item,/riːtʃ fɔːr ən ˈaɪtəm/,với tay lấy hàng,phrase,He had to reach for an item on the top shelf.,Từ vựng: Mua sắm & Nhà hàng
piles of bags,/paɪlz ɒv bæɡz/,chồng túi xách,phrase,There were piles of bags near the entrance.,Từ vựng: Mua sắm & Nhà hàng
on the shelves,/ɒn ðə ʃɛlvz/,trên kệ,phrase,The books are neatly arranged on the shelves.,Từ vựng: Mua sắm & Nhà hàng
pushing a shopping cart,/ˈpʊʃɪŋ ə ˈʃɒpɪŋ kɑːrt/,đẩy xe mua hàng,phrase,She was pushing a shopping cart filled with groceries.,Từ vựng: Mua sắm & Nhà hàng
chef,/ʃɛf/,đầu bếp,noun,The chef prepared a delicious meal.,Từ vựng: Mua sắm & Nhà hàng
stack of plates,/stæk ɒv pleɪts/,chồng đĩa,phrase,The waiter carried a stack of plates to the table.,Từ vựng: Mua sắm & Nhà hàng
dine out,/daɪn aʊt/,ăn ở bên ngoài,phrase,We decided to dine out tonight.,Từ vựng: Mua sắm & Nhà hàng
leave a tip,/liːv ə tɪp/,để tiền boa,phrase,It's customary to leave a tip for good service.,Từ vựng: Mua sắm & Nhà hàng
pour water into a glass,/pɔːr ˈwɔːtər ˈɪntə ə ɡlɑːs/,rót nước vào ly,phrase,Please pour water into a glass for me.,Từ vựng: Mua sắm & Nhà hàng
call the waiter over,/kɔːl ðə ˈweɪtər ˈəʊvər/,gọi bồi bàn,phrase,I need to call the waiter over to order dessert.,Từ vựng: Mua sắm & Nhà hàng
study the menu,/ˈstʌdi ðə ˈmɛnjuː/,xem thực đơn,phrase,We took some time to study the menu.,Từ vựng: Mua sắm & Nhà hàng
be covered by a cloth,/bi ˈkʌvərd baɪ ə klɒθ/,được trải khăn trải bàn,phrase,The table was be covered by a cloth.,Từ vựng: Mua sắm & Nhà hàng
cluttered table,/ˈklʌtərd ˈteɪbəl/,bàn ăn bừa bộn,phrase,The cluttered table needed to be tidied up.,Từ vựng: Mua sắm & Nhà hàng
be occupied,/bi ˈɒkjʊpaɪd/,"có người ngồi, đặt chỗ trước",phrase,The seat was be occupied by a woman.,Từ vựng: Mua sắm & Nhà hàng
help oneself to refreshments,/hɛlp wʌnˈsɛlf tu rɪˈfrɛʃmənts/,tự phục vụ bữa ăn nhẹ,phrase,Please help oneself to refreshments from the buffet.,Từ vựng: Mua sắm & Nhà hàng
be crowded with patrons,/bi ˈkraʊdɪd wɪð ˈpeɪtrənz/,đông nghịt khách,phrase,The restaurant was be crowded with patrons.,Từ vựng: Mua sắm & Nhà hàng
remove loaves of bread,/rɪˈmuːv ləʊvz ɒv brɛd/,dẹp đi những ổ bánh mì,phrase,He had to remove loaves of bread from the counter.,Từ vựng: Mua sắm & Nhà hàng
be seated on the stool,/bi ˈsiːtɪd ɒn ðə stuːl/,ngồi trên ghế không có băng tựa,phrase,He was be seated on the stool at the bar.,Từ vựng: Mua sắm & Nhà hàng
take an order,/teɪk ən ˈɔːrdər/,nhận đơn đặt hàng,phrase,The waiter came to take an order.,Từ vựng: Mua sắm & Nhà hàng
sit on the patio,/sɪt ɒn ðə ˈpætiəʊ/,ngồi trên hành lang ngoài trời,phrase,It's nice to sit on the patio on a warm evening.,Từ vựng: Mua sắm & Nhà hàng
wait tables,/weɪt ˈteɪbəlz/,"phục vụ, tiếp thức ăn đứng bàn",phrase,She worked as a waitress to wait tables.,Từ vựng: Mua sắm & Nhà hàng
aging population,/'eɪdʒɪŋ ˌpɒpjʊˈleɪʃən/,Dân số già hóa,phrase,Many countries are facing challenges due to aging population. (Nhiều quốc gia đang đối mặt với những thách thức do dân số già hóa.),Chủ đề: Dân số
balanced growth,/'bælənst ɡrəʊθ/,Tăng trưởng cân bằng,phrase,The government aims for balanced growth to ensure sustainable development. (Chính phủ hướng đến tăng trưởng cân bằng để đảm bảo phát triển bền vững.),Chủ đề: Dân số
birth rate,/'bɜːθ reɪt/,Tỷ suất sinh,noun,The birth rate has decreased significantly this year. (Tỷ suất sinh đã giảm đáng kể trong năm nay.),Chủ đề: Dân số
brain drain,/breɪn dreɪn/,Chảy máu chất xám,phrase,Many talented professionals are leaving due to brain drain. (Nhiều chuyên gia tài năng đang rời đi do chảy máu chất xám.),Chủ đề: Dân số
carrying capacity,/'kæriɪŋ kə'pæsəti/,Sức chứa/khả năng chịu tải của môi trường,phrase,The environment's carrying capacity limits the population size. (Sức chứa của môi trường giới hạn quy mô dân số.),Chủ đề: Dân số
contraceptive prevalence rate,/ˌkɒntrə'septɪv 'prevələns reɪt/,Tỷ lệ sử dụng biện pháp tránh thai,phrase,The contraceptive prevalence rate has increased over the years. (Tỷ lệ sử dụng biện pháp tránh thai đã tăng qua các năm.),Chủ đề: Dân số
crude birth rate,/kruːd bɜːθ reɪt/,Tỷ suất sinh thô,phrase,The crude birth rate is an important demographic indicator. (Tỷ suất sinh thô là một chỉ số dân số quan trọng.),Chủ đề: Dân số
crude death rate,/kruːd deθ reɪt/,Tỷ suất tử vong thô,phrase,Reducing the crude death rate helps improve life expectancy. (Giảm tỷ suất tử vong thô giúp nâng cao tuổi thọ trung bình.),Chủ đề: Dân số
demographic dividend,/ˌdemə'ɡræfɪk 'dɪvɪdend/,Lợi tức dân số,phrase,A country can benefit from demographic dividend if policies are well planned. (Một quốc gia có thể hưởng lợi từ lợi tức dân số nếu chính sách được lập kế hoạch tốt.),Chủ đề: Dân số
demographic transition,/ˌdemə'ɡræfɪk træn'zɪʃən/,Chuyển tiếp nhân khẩu học,phrase,Demographic transition explains the shift in birth and death rates. (Chuyển tiếp nhân khẩu học giải thích sự thay đổi trong tỷ suất sinh và tử vong.),Chủ đề: Dân số
dependency ratio,/dɪ'pendənsi 'reɪʃiəʊ/,Tỷ lệ phụ thuộc,phrase,A high dependency ratio can strain economic resources. (Tỷ lệ phụ thuộc cao có thể gây áp lực lên nguồn lực kinh tế.),Chủ đề: Dân số
family planning,/'fæməli 'plænɪŋ/,Kế hoạch hóa gia đình,phrase,Family planning is vital for population control. (Kế hoạch hóa gia đình là thiết yếu cho kiểm soát dân số.),Chủ đề: Dân số
fertility rate,/fə'tɪləti reɪt/,Tỷ suất sinh sản,noun,The fertility rate influences population growth. (Tỷ suất sinh sản ảnh hưởng đến sự tăng trưởng dân số.),Chủ đề: Dân số
food insecurity,/fuːd ˌɪnsɪ'kjʊərəti/,Mất an ninh lương thực,phrase,Food insecurity affects millions worldwide. (Mất an ninh lương thực ảnh hưởng đến hàng triệu người trên thế giới.),Chủ đề: Dân số
household size,/'haʊshəʊld saɪz/,Quy mô hộ gia đình,phrase,Household size varies across regions. (Quy mô hộ gia đình khác nhau giữa các khu vực.),Chủ đề: Dân số
housing shortage,/'haʊzɪŋ 'ʃɔːtɪdʒ/,Thiếu nhà ở,phrase,Many cities face housing shortages. (Nhiều thành phố đối mặt với tình trạng thiếu nhà ở.),Chủ đề: Dân số
infant mortality rate,/'ɪnfənt mɔː'tælɪti reɪt/,Tỷ lệ tử vong trẻ sơ sinh,phrase,Reducing the infant mortality rate improves overall health. (Giảm tỷ lệ tử vong trẻ sơ sinh nâng cao sức khỏe chung.),Chủ đề: Dân số
increasing demand,/ɪn'kriːsɪŋ dɪ'mɑːnd/,Nhu cầu gia tăng,phrase,Increasing demand strains supply chains. (Nhu cầu gia tăng gây áp lực lên các chuỗi cung ứng.),Chủ đề: Dân số
life expectancy,/laɪf ɪk'spektənsi/,Tuổi thọ trung bình,noun,Life expectancy has improved with healthcare advances. (Tuổi thọ trung bình đã tăng lên nhờ tiến bộ trong chăm sóc sức khỏe.),Chủ đề: Dân số
maternal mortality ratio,/mə'tɜːnəl mɔː'tælɪti 'reɪʃiəʊ/,Tỷ số tử vong mẹ,phrase,Reducing maternal mortality ratio is a global priority. (Giảm tỷ số tử vong mẹ là ưu tiên toàn cầu.),Chủ đề: Dân số
median age / N/A,,Độ tuổi trung vị,noun,Median age gives insight into population aging. (Độ tuổi trung vị cung cấp cái nhìn về già hóa dân số.),Chủ đề: Dân số
migration patterns,/maɪ'ɡreɪʃən 'pætənz/,Mô hình/kiểu di cư,phrase,Migration patterns influence urban development. (Mô hình di cư ảnh hưởng đến phát triển đô thị.),Chủ đề: Dân số
mortality rate,/mɔː'tælɪti reɪt/,Tỷ suất tử vong,noun,The mortality rate decreased due to medical advancements. (Tỷ lệ tử vong giảm nhờ tiến bộ y học.),Chủ đề: Dân số
natural increase,/'nætʃrəl ɪn'kriːs/,Tăng tự nhiên,phrase,Natural increase is a key component of population growth. (Tăng tự nhiên là thành phần chính của sự tăng trưởng dân số.),Chủ đề: Dân số
net migration rate,/net maɪ'ɡreɪʃən reɪt/,Tỷ lệ di cư ròng,phrase,A positive net migration rate boosts urban population. (Tỷ lệ di cư ròng dương thúc đẩy dân số đô thị.),Chủ đề: Dân số
overpopulation,/ˌəʊvəpɒpjʊ'leɪʃən/,Quá tải dân số,noun,Overpopulation can lead to resource depletion. (Quá tải dân số có thể dẫn đến cạn kiệt tài nguyên.),Chủ đề: Dân số
population boom,/ˌpɒpjʊ'leɪʃən buːm/,Bùng nổ dân số,phrase,The population boom stressed urban infrastructure. (Bùng nổ dân số gây căng thẳng cơ sở hạ tầng đô thị.),Chủ đề: Dân số
population density,/ˌpɒpjʊ'leɪʃən 'densəti/,Mật độ dân số,phrase,High population density can affect quality of life. (Mật độ dân số cao có thể ảnh hưởng đến chất lượng cuộc sống.),Chủ đề: Dân số
population growth rate,/ˌpɒpjʊ'leɪʃən ɡrəʊθ reɪt/,Tốc độ tăng dân số,phrase,Monitoring the population growth rate is essential. (Theo dõi tốc độ tăng dân số là điều cần thiết.),Chủ đề: Dân số
population momentum,/ˌpɒpjʊ'leɪʃən məʊ'mentəm/,Quán tính dân số,phrase,Population momentum can sustain growth even after birth rates decline. (Quán tính dân số có thể duy trì tăng trưởng ngay cả khi tỷ lệ sinh giảm.),Chủ đề: Dân số
population projection,/ˌpɒpjʊ'leɪʃən prə'dʒekʃən/,Dự báo dân số,phrase,Population projection helps in planning infrastructure. (Dự báo dân số giúp trong lập kế hoạch hạ tầng.),Chủ đề: Dân số
population pyramid,/ˌpɒpjʊ'leɪʃən 'pɪrəmɪd/,Tháp dân số,phrase,Population pyramids visualize age and sex distribution. (Tháp dân số thể hiện phân bổ theo tuổi và giới tính.),Chủ đề: Dân số
replacement-level fertility,/rɪ'pleɪsmənt 'levl fə'tɪləti/,Mức sinh thay thế,phrase,Replacement-level fertility is about 2 children per woman. (Mức sinh thay thế khoảng 2 con mỗi phụ nữ.),Chủ đề: Dân số
reproductive health,/ˌriːprə'dʌktɪv helθ/,Sức khỏe sinh sản,phrase,Access to reproductive health services is vital. (Tiếp cận dịch vụ sức khỏe sinh sản là rất quan trọng.),Chủ đề: Dân số
rural–urban migration,/ˌrʊərəl 'ɜːbən maɪ'ɡreɪʃən/,Di cư nông thôn lên đô thị,phrase,Rural–urban migration affects city growth. (Di cư nông thôn lên đô thị ảnh hưởng đến sự phát triển của thành phố.),Chủ đề: Dân số
sex ratio at birth,/seks 'reɪʃiəʊ æt bɜːθ/,Tỷ số giới tính khi sinh,phrase,Sex ratio at birth can be skewed by cultural factors. (Tỷ số giới tính khi sinh có thể bị lệch do yếu tố văn hóa.),Chủ đề: Dân số
strain on resources,/streɪn ɒn rɪ'sɔːsɪz/,Áp lực lên tài nguyên,phrase,Overpopulation causes strain on resources. (Quá tải dân số gây áp lực lên tài nguyên.),Chủ đề: Dân số
urbanization rate,/ˌɜːbənaɪ'zeɪʃən reɪt/,Tỷ lệ đô thị hóa,phrase,Urbanization rate is increasing rapidly in many countries. (Tỷ lệ đô thị hóa đang tăng nhanh ở nhiều quốc gia.),Chủ đề: Dân số
youth bulge,/juːθ bʌldʒ/,Phình to dân số trẻ,phrase,A youth bulge can create economic opportunities. (Phình to dân số trẻ có thể tạo ra cơ hội kinh tế.),Chủ đề: Dân số
coexistence,/ˌkəʊɪɡˈzɪstəns/,sự cùng tồn tại,noun,Peace depends on coexistence. (Hòa bình phụ thuộc vào sự cùng tồn tại.),Chủ đề: Trí tuệ nhân tạo
artificial intelligence,/ˌɑːtɪˈfɪʃl ɪnˈtelɪdʒəns/,trí tuệ nhân tạo,noun,Artificial intelligence is transforming many industries. (Trí tuệ nhân tạo đang làm thay đổi nhiều ngành công nghiệp.),Chủ đề: Trí tuệ nhân tạo
police,/pəˈliːs/,"kiểm soát, giám sát (theo nghĩa ẩn dụ, không chỉ là cảnh sát)",verb,He police the area to maintain order. (Anh ấy kiểm soát khu vực để duy trì trật tự.),Chủ đề: Trí tuệ nhân tạo
feats,/fiːts/,"kỳ tích, thành tựu đáng nể",noun,Her feats in science are remarkable. (Những kỳ tích của cô ấy trong khoa học thật đáng kinh ngạc.),Chủ đề: Trí tuệ nhân tạo
narrow ai,/ˈnærəʊ eɪ aɪ/,trí tuệ nhân tạo chuyên biệt,noun,Narrow AI is designed for specific tasks. (Trí tuệ nhân tạo chuyên biệt được thiết kế cho các nhiệm vụ cụ thể.),Chủ đề: Trí tuệ nhân tạo
tackle,/ˈtækl/,"giải quyết, xử lý (vấn đề, nhiệm vụ...)",verb,We need to tackle climate change. (Chúng ta cần giải quyết biến đổi khí hậu.),Chủ đề: Trí tuệ nhân tạo
temporary,/ˈtem.pər.ər.i/,có tính tạm thời,adjective,The solution is only temporary. (Giải pháp này chỉ mang tính tạm thời.),Chủ đề: Trí tuệ nhân tạo
remarkable,/rɪˈmɑːkəbl/,"đáng kinh ngạc, xuất sắc, nổi bật",adjective,Her performance was remarkable. (Thành tích của cô ấy thật xuất sắc.),Chủ đề: Trí tuệ nhân tạo
constraint,/kənˈstreɪnt/,"khó khăn, hạn chế",noun,Budget constraints limit our options. (Hạn chế về ngân sách giới hạn các lựa chọn của chúng ta.),Chủ đề: Trí tuệ nhân tạo
dimension,/ˌdaɪˈmen.ʃən/,"chiều, kích thước, khía cạnh",noun,Consider all dimensions of the problem. (Xem xét tất cả các khía cạnh của vấn đề.),Chủ đề: Trí tuệ nhân tạo
profitable,/ˈprɒf.ɪ.tə.bəl/,có lợi nhuận,adjective,The business is profitable. (Doanh nghiệp mang lại lợi nhuận.),Chủ đề: Trí tuệ nhân tạo
disastrous,/dɪˈzɒs.trəs/,"thảm hoạ, tai hoạ",adjective,The storm was disastrous. (Cơn bão thật thảm khốc.),Chủ đề: Trí tuệ nhân tạo
accelerate,/əkˈseləreɪt/,"thúc đẩy, tăng tốc",verb,The car accelerate quickly. (Xe tăng tốc nhanh chóng.),Chủ đề: Trí tuệ nhân tạo
specify,/ˈspesɪfaɪ/,"xác định rõ, chỉ rõ",verb,Please specify your requirements. (Xin hãy chỉ rõ yêu cầu của bạn.),Chủ đề: Trí tuệ nhân tạo
utopian,/juːˈtəʊ.pi.ən/,không tưởng,adjective,His ideas are utopian. (Ý tưởng của anh ấy thật không tưởng.),Chủ đề: Trí tuệ nhân tạo
clarity,/ˈklær.ə.ti/,"sự rõ ràng, sự thấu suốt",noun,The clarity of the image is good. (Sự rõ ràng của hình ảnh rất tốt.),Chủ đề: Trí tuệ nhân tạo
cognitively,/ˈkɒɡ.nɪ.tɪv.li/,"về mặt nhận thức, liên quan đến tư duy",adverb,Children think cognitively. (Trẻ em suy nghĩ về mặt nhận thức.),Chủ đề: Trí tuệ nhân tạo
conflicted,/kənˈflɪk.tɪd/,"bị giằng xé, có cảm xúc hoặc quan điểm mâu thuẫn",adjective,He felt conflicted about the decision. (Anh ấy cảm thấy giằng xé về quyết định đó.),Chủ đề: Trí tuệ nhân tạo
ethical,/ˈeθɪkl/,"thuộc đạo đức, có tính đạo lý",adjective,The decision was ethical. (Quyết định đó mang tính đạo đức.),Chủ đề: Trí tuệ nhân tạo
limit (one's options),/ˈlɪmɪt/,giới hạn sự lựa chọn,phrase,This situation limits our options. (Tình huống này giới hạn các lựa chọn của chúng ta.),Chủ đề: Trí tuệ nhân tạo
far-fetched,/ˌfɑːˈfetʃt/,"viển vông, khó tin",adjective,His story sounds far-fetched. (Câu chuyện của anh ấy nghe có vẻ viển vông.),Chủ đề: Trí tuệ nhân tạo
input,/ˈɪnpʊt/,"sự tham gia, đầu vào (ý kiến hoặc dữ liệu)",noun,Your input is valuable. (Ý kiến của bạn rất quý giá.),Chủ đề: Trí tuệ nhân tạo
resource,/rɪˈzɔːs/,"tài nguyên, nguồn lực",noun,Natural resources are limited. (Tài nguyên thiên nhiên có hạn.),Chủ đề: Trí tuệ nhân tạo
thinker,/ˈθɪŋkə(r)/,"người suy nghĩ, người có tư duy (ở đây ám chỉ ""AI như những người biết suy nghĩ"")",noun,He is a deep thinker. (Anh ấy là một người suy nghĩ sâu sắc.),Chủ đề: Trí tuệ nhân tạo
capacity,/kəˈpæsəti/,"khả năng, năng lực (đặc biệt là về trí tuệ hoặc đạo đức)",noun,She has the capacity to learn quickly. (Cô ấy có khả năng học nhanh.),Chủ đề: Trí tuệ nhân tạo
moral reasoning,/ˈmɒrəl ˈriːznɪŋ/,lý luận đạo đức,noun,Moral reasoning guides ethical decisions. (Lý luận đạo đức hướng dẫn các quyết định đạo đức.),Chủ đề: Trí tuệ nhân tạo
materialistic society,/məˌtɪəriəˈlɪstɪk səˈsaɪəti/,Xã hội coi trọng vật chất,phrase,Many young people are influenced by the materialistic society. (Nhiều người trẻ bị ảnh hưởng bởi xã hội coi trọng vật chất.),Chủ đề: Tiêu dùng
mass consumption,/mæ s kənˈsʌmpʃən/,Tiêu dùng đại trà,phrase,Mass consumption leads to increased waste. (Tiêu dùng đại trà dẫn đến lượng rác thải tăng lên.),Chủ đề: Tiêu dùng
disposable culture,/dɪˈspəʊzəbl ˈkʌltʃə(r)/,Văn hoá vứt bỏ,phrase,Disposable culture promotes short-term usage of products. (Văn hoá vứt bỏ thúc đẩy việc sử dụng sản phẩm trong thời gian ngắn.),Chủ đề: Tiêu dùng
impulse buying,/ˈɪmpʌls ˈbaɪɪŋ/,Mua sắm theo cảm hứng,phrase,Impulse buying can lead to financial problems. (Mua sắm theo cảm hứng có thể dẫn đến vấn đề tài chính.),Chủ đề: Tiêu dùng
brand loyalty,/brænd ˈlɔɪəlti/,Lòng trung thành với thương hiệu,phrase,Brand loyalty keeps customers coming back. (Lòng trung thành với thương hiệu giúp khách hàng trở lại nhiều lần.),Chủ đề: Tiêu dùng
shopping spree,/ˈʃɒpɪŋ spriː/,Cuộc mua sắm điên cuồng,phrase,She went on a shopping spree last weekend. (Cô ấy đã đi mua sắm điên cuồng cuối tuần rồi.),Chủ đề: Tiêu dùng
consumer-driven economy,/kənˈsjuːmə ˈdrɪvn ɪˈkɒnəmi/,Kinh tế do người tiêu dùng thúc đẩy,phrase,A consumer-driven economy depends heavily on spending. (Kinh tế do người tiêu dùng thúc đẩy phụ thuộc nhiều vào tiêu dùng.),Chủ đề: Tiêu dùng
advertorial influence,/ˌædvəˈtɔːriəl ˈɪnfluəns/,Ảnh hưởng quảng cáo ngầm,phrase,Advertorial influence can shape consumer opinions. (Ảnh hưởng quảng cáo ngầm có thể định hình ý kiến người tiêu dùng.),Chủ đề: Tiêu dùng
overconsumption,/ˌəʊvəkənˈsʌmpʃən/,Tiêu dùng quá mức,noun,Overconsumption harms the environment. (Tiêu dùng quá mức làm hại môi trường.),Chủ đề: Tiêu dùng
ethical consumerism,/ˈeθɪkl kənˈsjuːmərɪzəm/,Chủ nghĩa tiêu dùng có đạo đức,phrase,Ethical consumerism encourages buying sustainable products. (Chủ nghĩa tiêu dùng có đạo đức khuyến khích mua các sản phẩm bền vững.),Chủ đề: Tiêu dùng
consumer awareness,/kənˈsjuːmə əˈweənəs/,Nhận thức của người tiêu dùng,phrase,Consumer awareness helps make informed decisions. (Nhận thức của người tiêu dùng giúp đưa ra quyết định sáng suốt.),Chủ đề: Tiêu dùng
planned obsolescence,/plænd ˌɒbsəˈlesns/,Sự lỗi thời có chủ ý,phrase,Planned obsolescence encourages frequent repurchases. (Sự lỗi thời có chủ ý thúc đẩy việc mua lại thường xuyên.),Chủ đề: Tiêu dùng
fast fashion,/fɑːst ˈfæʃn/,Thời trang nhanh,noun,Fast fashion increases clothing waste. (Thời trang nhanh gia tăng lượng rác thải quần áo.),Chủ đề: Tiêu dùng
sustainable consumption,/səˈsteɪnəbl kənˈsʌmpʃən/,Tiêu dùng bền vững,phrase,Sustainable consumption benefits the environment. (Tiêu dùng bền vững có lợi cho môi trường.),Chủ đề: Tiêu dùng
buyer's remorse,/ˈbaɪəz rɪˈmɔːs/,Hối hận sau khi mua sắm,phrase,He experienced buyer's remorse after the purchase. (Anh ấy đã cảm thấy hối hận sau khi mua hàng.),Chủ đề: Tiêu dùng
price-sensitive customers,/praɪs ˈsensətɪv ˈkʌstəməz/,Khách hàng nhạy cảm giá,phrase,Price-sensitive customers often hunt for discounts. (Khách hàng nhạy cảm giá thường tìm kiếm giảm giá.),Chủ đề: Tiêu dùng
shopping addiction,/ˈʃɒpɪŋ əˈdɪkʃn/,Nghiện mua sắm,phrase,Shopping addiction can lead to financial ruin. (Nghiện mua sắm có thể dẫn đến phá sản tài chính.),Chủ đề: Tiêu dùng
consumer rights,/kənˈsjuːmə raɪts/,Quyền người tiêu dùng,phrase,Consumer rights protect buyers from fraudulent practices. (Quyền người tiêu dùng bảo vệ người mua khỏi các hành vi lừa đảo.),Chủ đề: Tiêu dùng
manipulative advertising,/məˈnɪpjələtɪv ˈædvətaɪzɪŋ/,Quảng cáo mang tính thao túng,phrase,Manipulative advertising influences impulsive buying. (Quảng cáo mang tính thao túng ảnh hưởng đến mua sắm theo cảm hứng.),Chủ đề: Tiêu dùng
possession-oriented mindset,/pəˈzeʃn ˈɔːrientɪd ˈmaɪndset/,Tư duy đề cao vật chất,phrase,A possession-oriented mindset values material wealth highly. (Tư duy đề cao vật chất đánh giá cao của cải vật chất.),Chủ đề: Tiêu dùng
add to cart,/æd tə kɑːt/,Thêm vào giỏ hàng,phrase,You can add items to cart before checkout. (Bạn có thể thêm hàng vào giỏ trước khi thanh toán.),Chủ đề: Tiêu dùng
advertising campaign,/ˈædvətaɪzɪŋ kæmˈpeɪn/,Chiến dịch quảng cáo,phrase,The advertising campaign increased sales significantly. (Chiến dịch quảng cáo đã tăng doanh số đáng kể.),Chủ đề: Tiêu dùng
after-sales service,/ˈɑːftə(r) seɪlz ˈsɜːvɪs/,Dịch vụ sau bán hàng,phrase,Good after-sales service builds customer loyalty. (Dịch vụ hậu mãi tốt xây dựng lòng trung thành của khách hàng.),Chủ đề: Tiêu dùng
ask for a refund,/æsk fɔː(r) ə ˈriːfʌnd/,Yêu cầu hoàn tiền,phrase,Customers can ask for a refund within 30 days. (Khách hàng có thể yêu cầu hoàn tiền trong vòng 30 ngày.),Chủ đề: Tiêu dùng
attract customers,/əˈtrækt ˈkʌstəmə(r)z/,Thu hút khách hàng,phrase,Discount offers help attract customers. (Các ưu đãi giảm giá giúp thu hút khách hàng.),Chủ đề: Tiêu dùng
bargain hunting,/ˈbɑːɡən ˈhʌntɪŋ/,Săn hàng giá hời (săn sale),phrase,Many people enjoy bargain hunting during sales. (Nhiều người thích săn hàng giảm giá trong các kỳ giảm giá.),Chủ đề: Tiêu dùng
buy in bulk,/baɪ ɪn bʌlk/,Mua số lượng lớn,phrase,Businesses often buy in bulk to save costs. (Các doanh nghiệp thường mua với số lượng lớn để tiết kiệm chi phí.),Chủ đề: Tiêu dùng
buy one get one free,/baɪ wʌn ɡet wʌn friː/,Mua 1 tặng 1,phrase,The promotion buy one get one free attracts many customers. (Chương trình khuyến mãi mua 1 tặng 1 thu hút nhiều khách hàng.),Chủ đề: Tiêu dùng
clearance sale,/ˈklɪərəns seɪl/,"Xả hàng, thanh lý hàng tồn kho",phrase,The store is having a clearance sale. (Cửa hàng đang có chương trình xả hàng.),Chủ đề: Tiêu dùng
customer satisfaction,/ˈkʌstəmə(r) ˌsætɪsˈfækʃən/,Sự hài lòng của khách hàng,phrase,High customer satisfaction leads to repeat business. (Sự hài lòng cao của khách hàng dẫn đến kinh doanh lặp lại.),Chủ đề: Tiêu dùng
discount code,/ˈdɪskaʊnt kəʊd/,Mã giảm giá,phrase,Use the discount code for extra savings. (Sử dụng mã giảm giá để tiết kiệm thêm.),Chủ đề: Tiêu dùng
exchange policy,/ɪksˈtʃeɪndʒ ˈpɒləsi/,Chính sách đổi hàng,phrase,Check the exchange policy before buying. (Kiểm tra chính sách đổi hàng trước khi mua.),Chủ đề: Tiêu dùng
flash sale,/flæʃ seɪl/,Siêu giảm giá chớp nhoáng,phrase,The store offers a flash sale every weekend. (Cửa hàng tổ chức chương trình giảm giá chớp nhoáng mỗi cuối tuần.),Chủ đề: Tiêu dùng
free shipping,/friː ˈʃɪpɪŋ/,Miễn phí vận chuyển,phrase,Order now for free shipping. (Đặt hàng ngay để được vận chuyển miễn phí.),Chủ đề: Tiêu dùng
go on a shopping spree,/ɡəʊ ɒn ə ˈʃɒpɪŋ spriː/,mua sắm thỏa thích,phrase,She decided to go on a shopping spree during the sale. (Cô ấy quyết định mua sắm thỏa thích trong kỳ giảm giá.),Chủ đề: Tiêu dùng
in stock,/ɪn stɒk/,còn hàng,phrase,The product is in stock and ready to ship. (Sản phẩm còn hàng và sẵn sàng vận chuyển.),Chủ đề: Tiêu dùng
limited stock,/ˈlɪmɪtɪd stɒk/,số lượng có hạn,phrase,"Act now, limited stock available. (Hành động ngay, còn hàng có hạn.)",Chủ đề: Tiêu dùng
limited-time offer,/ˈlɪmɪtɪd taɪm ˈɒfə(r)/,ưu đãi có thời hạn,phrase,Take advantage of the limited-time offer. (Tận dụng ưu đãi có thời hạn.),Chủ đề: Tiêu dùng
luxury goods,/ˈlʌkʃəri ɡʊdz/,hàng xa xỉ,phrase,Luxury goods are often expensive and exclusive. (Hàng xa xỉ thường đắt tiền và độc quyền.),Chủ đề: Tiêu dùng
make an informed purchase,/meɪk ən ɪnˈfɔː(r)md ˈpɜː(r)tʃəs/,mua hàng sau khi tìm hiểu kỹ thông tin,phrase,Always make an informed purchase. (Luôn mua hàng sau khi tìm hiểu kỹ.),Chủ đề: Tiêu dùng
